#Partially deleted in new
chr1	16518960	16519406
#Partially deleted in new
chr1	39576878	39577387
#Partially deleted in new
chr1	92910742	92911274
#Partially deleted in new
chr1	166001805	166002362
#Deleted in new
chr1	171064681	171064750
#Deleted in new
chr1	171064822	171065105
#Deleted in new
chr1	171065209	171065244
#Deleted in new
chr1	171065818	171066101
#Deleted in new
chr1	171066172	171066184
#Partially deleted in new
chr1	182019458	182020228
#Deleted in new
chr1	194749935	194750087
#Partially deleted in new
chr10	13967020	13967342
#Partially deleted in new
chr10	26374014	26374554
#Partially deleted in new
chr10	26375012	26375481
#Deleted in new
chr10	60740245	60740611
#Partially deleted in new
chr10	61147560	61147961
#Partially deleted in new
chr10	67096430	67097010
#Partially deleted in new
chr10	69213081	69213484
#Partially deleted in new
chr10	70097205	70097512
#Deleted in new
chr10	70116794	70117168
#Deleted in new
chr10	75476642	75476930
#Deleted in new
chr10	75792855	75793428
#Partially deleted in new
chr10	77417941	77418336
#Partially deleted in new
chr10	78352050	78352504
#Partially deleted in new
chr10	79766372	79767021
#Partially deleted in new
chr10	80138896	80139242
#Partially deleted in new
chr10	81430130	81430493
#Partially deleted in new
chr10	81559377	81559699
#Partially deleted in new
chr10	83337263	83337684
#Partially deleted in new
chr10	117845680	117846039
#Partially deleted in new
chr10	127380768	127381126
#Partially deleted in new
chr11	30268277	30268436
#Partially deleted in new
chr11	52167883	52168146
#Partially deleted in new
chr11	52168234	52168596
#Partially deleted in new
chr11	53350512	53350969
#Deleted in new
chr11	60296225	60296531
#Partially deleted in new
chr11	60417293	60417680
#Deleted in new
chr11	67640552	67641045
#Deleted in new
chr11	67642028	67642252
#Partially deleted in new
chr11	68386668	68387354
#Partially deleted in new
chr11	69935640	69936217
#Deleted in new
chr11	72467655	72467937
#Partially deleted in new
chr11	73018796	73019224
#Partially deleted in new
chr11	74522505	74522854
#Partially deleted in new
chr11	75966513	75966973
#Partially deleted in new
chr11	79591017	79591414
#Deleted in new
chr11	79791343	79791652
#Deleted in new
chr11	110541683	110541963
#Partially deleted in new
chr11	115859471	115859675
#Deleted in new
chr11	116746121	116746325
#Deleted in new
chr11	118980023	118980400
#Partially deleted in new
chr11	119085926	119086244
#Partially deleted in new
chr12	4476649	4477215
#Partially deleted in new
chr12	4477271	4477339
#Partially deleted in new
chr12	26414953	26415306
#Deleted in new
chr12	55538415	55538825
#Partially deleted in new
chr12	103532445	103532761
#Partially deleted in new
chr13	9764104	9765050
#Partially deleted in new
chr13	13784413	13784653
#Partially deleted in new
chr13	43480857	43481491
#Partially deleted in new
chr13	44729942	44730469
#Deleted in new
chr13	45923160	45923523
#Partially deleted in new
chr13	47105806	47106158
#Partially deleted in new
chr13	49147727	49148058
#Partially deleted in new
chr13	51100738	51100785
#Partially deleted in new
chr13	51793390	51793727
#Partially deleted in new
chr13	58128620	58128901
#Deleted in new
chr13	74529391	74529881
#Partially deleted in new
chr13	93499398	93499971
#Partially deleted in new
chr13	100651358	100651681
#Partially deleted in new
chr13	107022197	107022284
#Partially deleted in new
chr13	107022494	107022549
#Deleted in new
chr13	112398448	112398797
#Partially deleted in new
chr13	119428026	119429509
#Partially deleted in new
chr13	119488220	119488553
#Partially deleted in new
chr14	8214195	8214542
#Deleted in new
chr14	20000457	20000721
#Deleted in new
chr14	30465171	30465523
#Partially deleted in new
chr14	30715935	30716615
#Partially deleted in new
